,uid,app_date,app_method,app_recipient,ct_credit_product,ct_guarantee,credit_purpose,amount_applied_for_flag,action_taken,census_tract_adr_type,gross_annual_revenue_flag,naics_code_flag,number_of_workers,time_in_business_type,business_ownership_status,num_principal_owners_flag,ct_loan_term_flag,denial_reasons,pricing_interest_rate_type,pricing_adj_index_name,num_principal_owners,pricing_mca_addcost_flag,po_1_ethnicity,po_1_race,po_1_gender_flag,po_2_ethnicity,po_2_race,po_2_gender_flag,po_3_ethnicity,po_3_race,po_3_gender_flag,po_4_ethnicity,po_4_race,po_4_gender_flag,ct_credit_product_ff,ct_guarantee_ff,ct_loan_term,credit_purpose_ff,amount_applied_for,amount_approved,action_taken_date,denial_reasons_ff,pricing_init_rate_period,pricing_fixed_rate,pricing_adj_margin,pricing_adj_index_name_ff,pricing_adj_index_value,pricing_origination_charges,pricing_broker_fees,pricing_initial_charges,pricing_mca_addcost,pricing_prepenalty_allowed,pricing_prepenalty_exists,census_tract_number,gross_annual_revenue,naics_code,time_in_business,po_1_ethnicity_ff,po_1_race_anai_ff,po_1_race_asian_ff,po_1_race_baa_ff,po_1_race_pi_ff,po_1_gender_ff,po_2_ethnicity_ff,po_2_race_anai_ff,po_2_race_asian_ff,po_2_race_baa_ff,po_2_race_pi_ff,po_2_gender_ff,po_3_ethnicity_ff,po_3_race_anai_ff,po_3_race_asian_ff,po_3_race_baa_ff,po_3_race_pi_ff,po_3_gender_ff,po_4_ethnicity_ff,po_4_race_anai_ff,po_4_race_asian_ff,po_4_race_baa_ff,po_4_race_pi_ff,po_4_gender_ff
78,5935000172P7QCD3OK52DFYWKVF1EYJJXS46QHOHO1E,"may,31,2024",2,2,977,999,2,988,5,2,988,988,7,2,966,900,988,999,999,999,4.0,999,1,42;5;22;32;44;31;37;33;27;25;23;974;971;35;3;36;43;4;24;34;41,988.0,11;2;14;13,988,988.0,12;977;2;14,2;43,966.0,13;2,37;36;4;33;32;973;41;972;24;3;2;974;34;42;5;22;27;25;21;1;26;35;44;971;23;31,988.0,,,,,,,20241227,,,,,,,,,,,999,999,31109002702.0,,,,,metus ultrices vel leo pellentesque ultrices volutpat ultricies porttitor felis leo accumsan eros dignissim augue porttitor proin in ac phasellus massa blandit tempor a lorem ornare dictumst mi ante neque vivamus euismod dictum blandit ridiculus sodale,,,diam platea nisi interdum tristique aenean sit tempor auctor aenean pellentesque suspendisse justo praesent vitae bibendum ut porta imperdiet vestibulum dictum ,,,,,,,,ullamcorper congue ac volutpat,,,,,,,mollis nibh proin sed nascetur lectus neque venenatis venenatis dignissim parturient enim auctor quisque tincidunt tincidunt fames hendrerit rutrum consequat nec ullamcorper dictumst fringilla placerat na,blandit vitae placerat tellus accumsan luctus turpis feugiat at mauris pulvinar vel curabitur ligula rutrum faucibus ac mon,habitasse bibendum at erat integer ac sollicitudin enim iaculis dis ullamcorper leo porttitor vestibulum phasellus vestibulum a vestibulum s,convallis venenatis gravida nisl ac lobortis aenean nullam quam felis varius praesent,
79,665400R34KDSZFGPAY29V20BQ7PRBH,"may,31,2024",4,1,977,1;11;7,5,999,1,988,900,900,9,3,966,900,999,999,3,10,1.0,900,2;1,972;26;36;31;23;5;43;24;3;4;971;2;32;44;27;25;37;41;33;974;1,966.0,,,,,,,,,,,,,,,23880975.0,20241230,,291.0,,10.893,,4.061,396719.23,127208.81,206561.19,175780.2,2,2,,29821018.72,721.0,,,placerat nam nascetur aenean porta ultrices penatibus neque laoreet libero quisque posuere venenatis imperdiet erat pellentesque mauris eleifend mattis platea ac sociis elit ut egestas curabitur sed at leo augue metus ornare hendrerit laoreet ridiculus dui donec aliquam pharetra tortor pulvinar s,montes eu mattis amet nunc luctus dictumst fames con,,blandit neque aliquam purus vulputate fames ligula lorem porttitor faucibus hac justo ligula lacinia quis mauris ultricies scelerisque egestas ornare imperdiet amet sit congue mus sapien habitant auctor porta nulla pretium mollis gravid,,,,,,,,,,,,,,,,,,,
80,423600VUTSK9BKI80S76N4PBU,"may,31,2024",1,2,977,999,2;11,900,5,2,988,988,988,3,966,900,900,999,999,999,4.0,999,2;11;14,1;34;972;4;32;974;43;24;3;33;26;36;42;5;971;35;25,988.0,966,36;5;973;21;974;41;22;3,988.0,1,966,966.0,14;977;1,32;37;2;44;27;25;4;35;24;1;43;26;34;42;974;972;22;31;36;3,988.0,,,26.0,,35624270.0,,20241117,,,,,,,,,,,999,999,1097003000.0,,,,,feugiat vivamus potenti at purus sodales scelerisque hac metus dignissim sem o,facilisis suspendisse vel suscipit erat et suspendisse porttitor neque pellentesque montes nam tempus facilisi suscipit libero vitae suspendisse interdum felis consequat penatibus condimentum a lacinia curabitur arcu sapien feugiat ,,laoreet penatibus natoque ,,,,,vel penatibus semper facilisi justo cursus dui libero tempus mus aliquam nec semper feugiat fringilla eleifend lacus et ante lobortis turpis bibendum ipsum molestie tellus malesuada magna malesuada habitant dis,phasellus elementum phasellus non condimentum imperdiet metus nascetur aenean phasellus luctus velit lectus cras aliquam ipsum sem mollis posuere dui porttitor lobortis suscipit ornare auctor tempus augue facilisi nec massa suspendisse porta sceler,,,,,,,,eleifend eget pretium orci integer nec varius habitant arcu venenatis vel viverra pellentesque habitasse al,,in mi convallis est magna dui erat nulla nulla nunc sit mi habitant rhoncus curabitur integer morbi blandit ullamcorper magna penatibus aliquet,,ligula etiam nunc porttitor nisi cras et sit sem morbi ut eleifend mus orci ac est sed phasellus su,
81,574500ZTF8THAPKVGE20K6W3VTKWGEFDZC7QNYBQDHHSL,"may,31,2024",3,2,977,1;3,988,999,3,988,900,900,988,2,966,988,988,8,999,999,,999,,,,,,,,,,,,,,,,,,,20241129,,,,,,,,,,,999,999,,17560218.47,488.0,,,,,,,,,,,,,,,,,,,,,,,,,
82,914700KUQQ5NOJHMSB03EE0SBIBCRL3E,"may,31,2024",2,2,977,5;7,2,988,5,2,988,988,6,2,955,900,988,999,999,999,1.0,999,988,5;3;21;32;25;26;4;41,966.0,,,,,,,,,,,,,,,,20241223,,,,,,,,,,,999,999,37147000602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,190200TWDO588WDI6F57C7KVORX1X4SM95O7NN,"may,31,2024",3,2,977,8;2,988,988,2,988,988,900,8,3,1,988,999,999,4,999,,900,,,,,,,,,,,,,,,,,,29434273.0,20241213,,269.0,7.556,,,,369797.21,156659.81,322624.77,323315.55,1,2,,,483.0,,,,,,,,,,,,,,,,,,,,,,,,,
84,205800QJKCOXYEYR7I63BOQVZ5NOOFMB327LJN9RX,"may,31,2024",3,2,977,999,999,988,5,2,988,900,4,1,3,988,900,999,999,999,,999,,,,,,,,,,,,,,,20.0,,,,20241225,,,,,,,,,,,999,999,39099802701.0,,713.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,
85,683600GNHSO11Z3Y67903Y007AZNLHJF,"may,31,2024",1,1,977,10;4;11,3;9,988,2,2,988,988,9,3,955,988,988,999,1,1,,999,,,,,,,,,,,,,,,,,,25584125.0,20241228,,,,3.905,,3.653,136356.5,336385.33,198172.09,,1,2,6059110115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,273600RX3YDDEKHVLG805,"may,31,2024",2,1,977,999,999,999,1,988,900,988,6,1,3,988,900,999,2,999,,999,,,,,,,,,,,,,,,60.0,,,22986610.0,20241227,,,7.037,,,,309552.22,91367.51,190720.1,,1,2,,18010814.01,,65.0,,,,,,,,,,,,,,,,,,,,,,,,
87,0400002RB4LS91LECB949UHL4N6OKIFH,"may,31,2024",1,2,977,977;8,988,999,5,3,988,988,5,1,966,988,999,999,999,999,,999,,,,,,,,,,,,,,nec placerat adipiscing vivamus donec mattis massa praesent justo tellus ullamcorper at tempor vitae sapien volutpat mollis habitant cras mus auctor praesent donec molestie netus est montes amet sagittis feugiat facilisi vel nullam cursus sed facilisi donec elementum vulputate,,,,,20241123,,,,,,,,,,,999,999,18143966800.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,
88,130000TWQ0QBX7NI0H16K2VMCHKZROU84TJOK,"may,31,2024",3,1,977,6;8;5,10;11,988,2,988,988,988,3,1,2;1,988,988,999,6,999,,999,,,,,,,,,,,,,,,,,,25448711.0,20241125,,246.0,8.984,,,,273808.59,258053.74,200585.33,,1,1,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,
89,254000CJLV5MHX2HHO372W2N7UQXFKB536QL6,"may,31,2024",2,1,977,10;11;9,10;4,999,5,988,988,988,1,1,955;2,988,999,999,999,999,,999,,,,,,,,,,,,,,,,,,,20241204,,,,,,,,,,,999,999,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,
90,2911000OV9HADHYDEO01Y88,"may,31,2024",3,2,977,9;5,2,999,4,1,988,900,4,3,1,988,900,999,999,999,,999,,,,,,,,,,,,,,,51.0,,,,20241114,,,,,,,,,,,999,999,13117130607.0,,314.0,,,,,,,,,,,,,,,,,,,,,,,,,
91,410200DU31L3A3Q7ZN233XFM6XFGKI,"may,31,2024",3,2,977,999,5,900,2,1,988,988,7,3,2,988,999,999,5,8,,900,,,,,,,,,,,,,,,,,29538721.0,35872536.0,20241212,,582.0,,4.365,,,404965.4,124603.52,323851.0,304809.62,2,2,9003420500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,965200EK1VO3EC1WZG33U8PK9WSRD2667584,"may,31,2024",2,1,977,1;8,6;11,900,4,988,988,988,4,3,2,900,900,999,999,999,2.0,999,977;14;2;13,988,1.0,1,988,966.0,,,,,,,,,49.0,,54373650.0,,20241124,,,,,,,,,,,999,999,,,,,varius aliquet rutrum mauris ac penatibus facilisis nulla a nibh ultricies feugiat augue mattis vel venenatis nisl fusce tellus scelerisque dictumst at donec parturient hac posuere condimentum nascetur rhoncus suspendisse vulputate neque nisl accumsan faucibus volutpat augue nulla,,,,,nulla adipiscing penatibus venenatis feugiat eros feugiat suspendisse faucibus eleifend praesent consequat praesent penatibus bibendum eros pellentesque phasellus senectus eu faucibus imperdiet tincidunt cum lectus feugiat pulvinar odio ma,,,,,,,,,,,,,,,,,,
93,80460063YS3YI1HPTK250609RVZ7X3RM3ZKB41C8JXZF,"may,31,2024",3,2,977,3,8;9,999,4,3,988,900,7,1,988,900,999,999,999,999,2.0,999,2;12;977,31;973;44;35;23;36;974;5;33;22;21;37;43;42;26;27,966.0,2;1;14;12,1;27;971;26;23;4;36;24;32;974;43;2;973;37;41;21;31;3;5;33;25,966.0,,,,,,,,,,,,,20241212,,,,,,,,,,,999,999,48381020800.0,,339.0,49.0,dui id habitant hendrerit euismod ante malesuada tortor lectus natoque facilisis morbi nam luctus montes gravida pulvinar scelerisque dictumst risus sit fame,,,est dui,senectus tincidu,,,tortor et nascetur venenatis scelerisque convallis dignissim vulputate proin tempor malesuada et gravida mattis vitae cursus justo fringilla scelerisque commodo integer porttitor fringilla pharetra libero sollicitu,,arcu sit suspendisse euismod fames adipiscing velit id a est posuere dis semper magna morbi porttitor lacus faucibus sed cras est sapien cursus sociis curabitur turpis tempor sapien arcu diam aenean faucibus duis habitant neque vulputate nisi lobortis hac urna lobortis varius leo hab,lacinia lacinia venenatis platea commodo montes curabitur cum ante platea lectus mollis enim felis eleifend auctor consectetur duis velit nullam consequat platea commodo lobor,,,,,,,,,,,,,
94,412000VKOLI1AQ859R55TXCC174T26W69UB612UA76,"may,31,2024",3,1,977,10;9;3,11,900,2,2,900,900,988,1,3;2,988,999,999,6,999,,900,,,,,,,,,,,,,,,,,17811025.0,49007408.0,20241211,,282.0,11.584,,,,122338.28,354547.94,236204.09,200578.83,2,1,21041950200.0,19873493.99,316.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,
95,27820093U5TEQ5MBSH05JHW9M55ULXF3F5TXORH,"may,31,2024",3,2,977,2;4;7,999,999,1,988,900,988,6,1,966,988,900,999,5,3,,900,,,,,,,,,,,,,,,72.0,,,41428993.0,20241224,,630.0,,1.945,,,379673.59,101374.44,352354.59,378643.24,2,1,,12715745.82,,70.0,,,,,,,,,,,,,,,,,,,,,,,,
96,6833004Y44QQ4YRTZQ94F7LORSAPHI8P,"may,31,2024",1,1,977,5;4;9,999,900,3,2,988,988,7,3,1;3,900,999,977;1,999,999,0.0,999,,,,,,,,,,,,,,,,,15356095.0,,20241224,cras lacus dolor pot,,,,,,,,,,999,999,4013071802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,580300OP6894S4S4XH67VLZA9L02SP765JW158,"may,31,2024",3,2,977,11;8,11;4,999,2,2,988,988,2,988,1,900,900,999,5,8,0.0,999,,,,,,,,,,,,,,,64.0,,,58202840.0,20241226,,180.0,,6.927,,,438217.67,177566.45,128674.95,,2,1,48029161600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,623600K6FVZDC1IG0D59DAWP,"may,31,2024",2,1,977,999,5,999,3,2,900,988,1,2,2;955,988,900,5,999,999,,999,,,,,,,,,,,,,,,45.0,,,,20241224,,,,,,,,,,,999,999,39035114700.0,12072628.52,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2661000BX85Q0EP0NB23WTL5ZKUW4RTQ86VD4Q,"may,31,2024",3,2,977,9;11;6;7,11;6,999,2,1,988,900,6,988,1;955,900,999,999,1,5,1.0,900,11;1;14;12,4;37;971;973;35;32;43;44;26;21;36;23;22;3;974;972;41;42;2;25;5;1;33,966.0,,,,,,,,,,,,,,,11885245.0,20241125,,,,3.106,,9.235,156424.31,257507.04,220848.32,274889.94,1,2,12011010800.0,,315.0,,,mauris nisl penatibus odio gravida penatibus orci nec phasellus mi nibh consequat vitae platea imperdiet ele,suspendisse cursus maecenas egestas fermentum fermentum molestie ultrices vestibulum praesent cursus laoreet potenti venenatis feugiat at arcu sociis scelerisque eti,ipsum dictum varius nisl curabitur dui hac lacus donec urna elit faucibus fusce ac interdum risus habitasse ac ultricies placerat interdum aenean nisl luctus vivamus quisque suspendisse nascetur ac morbi diam mi etiam id morbi tristique neque nascetur tellus feugiat nam accumsan pretium imp,aliquet ante senectus sem odio ut dignissim senectus lectus netus pulvinar parturient integer quis luctus amet porttitor adipiscing id laoreet lobortis quis molestie vel magna eros mauris proin phasellus risus et morbi quisque cursus sociis sem justo dictum,,,,,,,,,,,,,,,,,,,
